stance,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anger,social,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,bio,drives,affiliation,achieve,power,reward,focuspast,focuspresent,focusfuture,relativ,motion,space,time.1,work,informal,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
Strong Agreement,12,37.39,50.0,23.51,25.77,12.0,50.0,91.67,41.67,16.67,8.33,8.33,0.0,0.0,0.0,8.33,8.33,0.0,8.33,8.33,0.0,0.0,25.0,0.0,0.0,8.33,0.0,0.0,16.67,8.33,8.33,0.0,8.33,0.0,16.67,8.33,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,25.0,0.0,8.33,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0
Neutral,5,99.0,50.0,1.0,25.77,5.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0
Strong Disagreement,2,92.84,99.0,1.0,25.77,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,11,79.25,50.0,2.4,1.0,11.0,27.27,100.0,36.36,9.09,0.0,0.0,0.0,0.0,0.0,9.09,18.18,0.0,9.09,0.0,9.09,0.0,18.18,9.09,0.0,0.0,0.0,0.0,36.36,0.0,36.36,18.18,9.09,0.0,9.09,0.0,0.0,0.0,9.09,0.0,9.09,9.09,9.09,0.0,36.36,0.0,9.09,27.27,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,9.09,0.0
Strong Disagreement,29,68.4,98.06,1.0,1.0,14.5,13.79,82.76,55.17,20.69,6.9,0.0,3.45,3.45,0.0,13.79,10.34,10.34,6.9,0.0,3.45,3.45,17.24,3.45,0.0,6.9,0.0,0.0,3.45,0.0,3.45,0.0,20.69,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,3.45,6.9,0.0,0.0,6.9,0.0,3.45,13.79,0.0,3.45,0.0,3.45,0.0,0.0,0.0,51.72,31.03,3.45,6.9,0.0,0.0,3.45
Strong Agreement,14,67.14,92.33,13.15,25.77,7.0,7.14,64.29,35.71,14.29,14.29,0.0,7.14,7.14,0.0,0.0,0.0,14.29,7.14,0.0,0.0,7.14,14.29,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,21.43,7.14,14.29,0.0,0.0,0.0,7.14,0.0,7.14,0.0,0.0,7.14,14.29,7.14,0.0,14.29,0.0,0.0,7.14,0.0,14.29,7.14,7.14,0.0,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0
Strong Agreement,13,23.17,77.92,63.54,99.0,6.5,23.08,92.31,46.15,7.69,7.69,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,15.38,0.0,7.69,15.38,7.69,0.0,0.0,0.0,0.0,23.08,23.08,0.0,0.0,15.38,0.0,15.38,7.69,0.0,0.0,0.0,0.0,7.69,7.69,0.0,0.0,15.38,7.69,0.0,7.69,0.0,0.0,15.38,0.0,7.69,0.0,0.0,7.69,0.0,0.0,23.08,0.0,0.0,0.0,23.08,0.0,0.0
Strong Agreement,5,8.19,50.0,1.0,99.0,5.0,40.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,20.0,0.0
Strong Agreement,10,24.86,99.0,1.0,1.0,10.0,0.0,80.0,50.0,30.0,10.0,0.0,10.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
Strong Agreement,13,92.84,22.08,1.4,25.77,13.0,15.38,100.0,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,7.69,7.69,7.69,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,15.38,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weak Agreement,17,41.45,11.97,1.0,99.0,8.5,35.29,76.47,47.06,11.76,11.76,5.88,0.0,5.88,0.0,0.0,5.88,5.88,11.76,0.0,0.0,11.76,23.53,5.88,0.0,0.0,0.0,0.0,11.76,11.76,0.0,0.0,17.65,5.88,17.65,0.0,0.0,5.88,0.0,0.0,11.76,5.88,0.0,0.0,5.88,0.0,0.0,5.88,0.0,5.88,11.76,0.0,0.0,0.0,0.0,0.0,11.76,0.0,64.71,17.65,5.88,0.0,11.76,0.0,29.41
Weak Agreement,2,1.8,50.0,99.0,25.77,2.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,17,41.45,11.97,1.0,99.0,8.5,35.29,76.47,47.06,11.76,11.76,5.88,0.0,5.88,0.0,0.0,5.88,5.88,11.76,0.0,0.0,11.76,23.53,5.88,0.0,0.0,0.0,0.0,11.76,11.76,0.0,0.0,17.65,5.88,17.65,0.0,0.0,5.88,0.0,0.0,11.76,5.88,0.0,0.0,5.88,0.0,0.0,5.88,0.0,5.88,11.76,0.0,0.0,0.0,0.0,0.0,11.76,0.0,64.71,17.65,5.88,0.0,11.76,0.0,29.41
Strong Agreement,2,1.8,50.0,99.0,25.77,2.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,19,21.43,29.92,4.05,97.58,9.5,5.26,84.21,57.89,15.79,10.53,0.0,0.0,0.0,10.53,5.26,15.79,5.26,10.53,15.79,5.26,5.26,21.05,0.0,0.0,5.26,0.0,0.0,5.26,5.26,0.0,0.0,15.79,0.0,21.05,0.0,5.26,0.0,0.0,5.26,10.53,0.0,0.0,5.26,5.26,0.0,5.26,0.0,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,5.26,5.26,31.58,21.05,0.0,0.0,0.0,5.26,0.0
Strong Agreement,3,92.84,50.0,1.0,1.0,3.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33
Weak Agreement,22,99.0,91.35,11.0,1.0,22.0,18.18,81.82,50.0,4.55,4.55,4.55,0.0,0.0,0.0,0.0,13.64,22.73,9.09,0.0,0.0,0.0,22.73,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,4.55,18.18,0.0,4.55,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,4.55,0.0,4.55,0.0,4.55,0.0,4.55,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0
Strong Agreement,7,92.84,92.33,1.0,99.0,7.0,0.0,100.0,57.14,14.29,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,0.0,14.29,0.0,14.29,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,14.29,0.0,0.0,28.57,28.57,14.29,0.0,0.0,14.29,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0
Strong Agreement,3,17.96,50.0,1.0,25.77,3.0,33.33,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,0.0,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33
Strong Agreement,52,19.2,87.57,1.0,62.24,52.0,23.08,92.31,65.38,17.31,13.46,0.0,1.92,7.69,1.92,3.85,0.0,17.31,19.23,1.92,5.77,5.77,25.0,0.0,0.0,1.92,0.0,1.92,5.77,3.85,1.92,0.0,19.23,7.69,11.54,1.92,0.0,1.92,1.92,0.0,5.77,7.69,0.0,0.0,7.69,1.92,0.0,5.77,0.0,3.85,17.31,0.0,1.92,0.0,1.92,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,33,31.44,99.0,2.4,1.59,11.0,21.21,75.76,54.55,24.24,15.15,0.0,15.15,0.0,0.0,9.09,0.0,15.15,15.15,0.0,0.0,3.03,30.3,6.06,0.0,3.03,0.0,0.0,3.03,0.0,3.03,0.0,18.18,0.0,9.09,3.03,0.0,3.03,3.03,0.0,0.0,6.06,3.03,0.0,0.0,0.0,0.0,0.0,0.0,3.03,27.27,0.0,9.09,3.03,6.06,0.0,0.0,0.0,21.21,0.0,0.0,6.06,0.0,0.0,15.15
Strong Agreement,7,99.0,50.0,89.63,25.77,7.0,28.57,85.71,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,28.57,0.0,14.29,14.29,14.29,0.0,14.29,0.0,0.0,0.0,0.0,14.29,0.0
Strong Agreement,4,92.84,50.0,1.0,25.77,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0
Strong Agreement,8,92.84,50.0,7.84,1.0,4.0,37.5,62.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,12.5,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,12.5,0.0,0.0,0.0,0.0,62.5,37.5,0.0,0.0,0.0,0.0,25.0
Neutral,11,31.44,18.16,31.94,25.77,5.5,45.45,45.45,45.45,9.09,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,9.09,0.0,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,18.18,0.0,9.09,9.09,0.0,0.0,63.64,0.0,9.09,0.0,9.09,0.0,45.45
Neutral,4,92.84,99.0,1.0,25.77,4.0,25.0,75.0,50.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0
Neutral,13,64.27,93.79,1.0,25.77,6.5,38.46,53.85,30.77,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,7.69,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,7.69,0.0,0.0,46.15,0.0,0.0,0.0,7.69,7.69,30.77
Strong Agreement,8,37.39,50.0,74.76,99.0,8.0,12.5,100.0,50.0,12.5,12.5,0.0,0.0,12.5,0.0,0.0,0.0,12.5,12.5,0.0,12.5,0.0,12.5,25.0,25.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,0.0,0.0,12.5,0.0,12.5,12.5,0.0,0.0,12.5,0.0,0.0,0.0
Strong Agreement,3,92.84,99.0,1.0,25.77,3.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,25,81.4,65.56,20.24,1.0,12.5,20.0,76.0,64.0,12.0,4.0,0.0,0.0,0.0,4.0,8.0,8.0,20.0,16.0,4.0,4.0,0.0,20.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,12.0,4.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,3,17.96,1.0,98.01,99.0,3.0,66.67,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33
Strong Agreement,45,22.43,67.16,18.21,25.77,3.75,13.33,75.56,44.44,8.89,4.44,0.0,4.44,0.0,0.0,4.44,4.44,4.44,20.0,4.44,4.44,2.22,26.67,6.67,0.0,0.0,0.0,0.0,4.44,2.22,2.22,0.0,4.44,0.0,2.22,0.0,0.0,0.0,0.0,0.0,2.22,11.11,6.67,0.0,2.22,0.0,0.0,0.0,0.0,6.67,20.0,2.22,13.33,2.22,6.67,4.44,0.0,6.67,55.56,48.89,0.0,0.0,2.22,2.22,2.22
Strong Agreement,3,17.96,1.0,98.01,99.0,3.0,66.67,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33
Strong Agreement,45,22.43,67.16,18.21,25.77,3.75,13.33,75.56,44.44,8.89,4.44,0.0,4.44,0.0,0.0,4.44,4.44,4.44,20.0,4.44,4.44,2.22,26.67,6.67,0.0,0.0,0.0,0.0,4.44,2.22,2.22,0.0,4.44,0.0,2.22,0.0,0.0,0.0,0.0,0.0,2.22,11.11,6.67,0.0,2.22,0.0,0.0,0.0,0.0,6.67,20.0,2.22,13.33,2.22,6.67,4.44,0.0,6.67,55.56,48.89,0.0,0.0,2.22,2.22,2.22
Strong Agreement,49,44.47,72.97,13.15,25.77,4.45,12.24,65.31,36.73,6.12,4.08,0.0,4.08,0.0,0.0,2.04,4.08,4.08,16.33,4.08,4.08,0.0,22.45,6.12,0.0,0.0,0.0,0.0,4.08,2.04,2.04,0.0,4.08,0.0,2.04,0.0,0.0,0.0,0.0,0.0,2.04,10.2,6.12,0.0,2.04,0.0,0.0,0.0,0.0,6.12,16.33,2.04,12.24,2.04,6.12,4.08,0.0,6.12,48.98,44.9,0.0,0.0,2.04,0.0,2.04
Strong Agreement,24,71.61,20.24,91.31,99.0,24.0,20.83,83.33,54.17,16.67,8.33,4.17,0.0,4.17,0.0,8.33,8.33,12.5,0.0,0.0,12.5,4.17,0.0,4.17,4.17,0.0,0.0,0.0,8.33,8.33,0.0,0.0,8.33,8.33,16.67,8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,8.33,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Agreement,7,67.14,50.0,89.63,1.0,7.0,42.86,57.14,14.29,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,14.29,14.29,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,28.57,0.0,0.0,0.0,42.86,0.0,0.0,0.0,14.29,0.0,0.0
Strong Agreement,13,23.17,1.07,1.4,1.0,4.33,38.46,69.23,46.15,7.69,0.0,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,7.69,0.0,15.38,7.69,0.0,0.0,0.0,0.0,7.69,15.38,0.0,15.38,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.38,69.23,0.0,0.0,7.69,0.0,38.46
Strong Agreement,3,17.96,50.0,1.0,1.0,3.0,0.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0
Strong Agreement,8,92.84,50.0,74.76,25.77,8.0,37.5,62.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,12.5,0.0,0.0,12.5,0.0,12.5,0.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,37.5,0.0,12.5,0.0,0.0,0.0,25.0
Strong Agreement,26,82.0,77.92,83.83,1.0,13.0,19.23,73.08,53.85,19.23,15.38,3.85,0.0,0.0,7.69,3.85,11.54,15.38,0.0,7.69,3.85,3.85,11.54,3.85,3.85,3.85,0.0,0.0,3.85,0.0,3.85,0.0,11.54,0.0,7.69,0.0,3.85,0.0,0.0,3.85,0.0,0.0,0.0,0.0,7.69,3.85,0.0,3.85,0.0,3.85,3.85,0.0,23.08,3.85,11.54,7.69,3.85,0.0,7.69,7.69,0.0,0.0,0.0,0.0,0.0
Strong Agreement,14,1.8,50.0,1.06,25.77,14.0,14.29,64.29,50.0,7.14,0.0,0.0,0.0,0.0,0.0,7.14,7.14,0.0,21.43,14.29,7.14,7.14,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,7.14,7.14,7.14,7.14,7.14
Strong Agreement,38,16.37,85.38,19.27,2.51,12.67,10.53,89.47,57.89,18.42,7.89,0.0,0.0,2.63,2.63,10.53,2.63,10.53,10.53,13.16,5.26,0.0,15.79,5.26,0.0,5.26,5.26,0.0,7.89,2.63,5.26,2.63,10.53,2.63,18.42,7.89,2.63,2.63,7.89,0.0,2.63,0.0,0.0,0.0,2.63,2.63,0.0,0.0,0.0,2.63,10.53,0.0,10.53,2.63,5.26,2.63,0.0,0.0,23.68,21.05,2.63,0.0,0.0,0.0,0.0
Strong Agreement,9,4.38,13.32,58.07,25.77,4.5,11.11,77.78,44.44,22.22,11.11,0.0,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,11.11,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,22.22,0.0,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,11.11,22.22,0.0,22.22,0.0,0.0,0.0,22.22,0.0,0.0,0.0,11.11,0.0,11.11
Strong Agreement,3,17.96,50.0,1.0,25.77,3.0,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,66.67
Strong Agreement,21,40.66,31.71,37.24,95.81,21.0,19.05,76.19,66.67,19.05,9.52,4.76,4.76,0.0,0.0,9.52,9.52,14.29,14.29,4.76,0.0,9.52,9.52,0.0,0.0,0.0,0.0,0.0,4.76,4.76,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05,0.0,14.29,0.0,9.52,4.76,0.0,0.0,52.38,42.86,0.0,4.76,0.0,4.76,0.0
Strong Agreement,17,14.53,3.89,66.34,98.87,17.0,11.76,82.35,64.71,17.65,5.88,5.88,0.0,0.0,0.0,11.76,5.88,11.76,5.88,23.53,0.0,5.88,11.76,5.88,0.0,5.88,0.0,5.88,5.88,5.88,0.0,0.0,0.0,0.0,23.53,5.88,5.88,0.0,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.65,0.0,5.88,0.0,0.0,5.88,5.88,0.0,5.88,5.88,0.0,0.0,0.0,0.0,0.0
Strong Agreement,8,71.61,50.0,1.0,99.0,4.0,37.5,75.0,37.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,12.5,0.0,0.0
Strong Agreement,5,92.84,99.0,1.0,99.0,5.0,0.0,60.0,40.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0
Strong Disagreement,3,92.84,99.0,1.0,99.0,3.0,0.0,100.0,66.67,33.33,33.33,0.0,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Strong Agreement,19,76.19,94.27,1.0,25.77,9.5,15.79,73.68,42.11,10.53,5.26,0.0,0.0,5.26,0.0,5.26,5.26,10.53,5.26,0.0,10.53,0.0,10.53,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,21.05,10.53,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,5.26,5.26,0.0,10.53,5.26,5.26,0.0,0.0,5.26,10.53,10.53,0.0,0.0,0.0,0.0,0.0
